Commodity,Major Pest,Cultural Control,Biological Control,Chemical Control,Mechanical Control,Integrated Pest Management (IPM),,,
Bhindi,Fruit borer,"Timely sowing, crop rotation","Neem oil, Trichogramma",Emamectin benzoate,Hand picking,Neem spray + pheromone + resistant varieties,,,https://mankindag.com/blog/safeguard-your-crops-a-guide-to-pest-control-methods/
Bhindi,Jassids & Aphids,Balanced fertilizer use,Neem Seed Kernel Extract (NSKE),Imidacloprid,Yellow sticky traps,Neem + NSKE + trap crops,,,http://www.agritech.tnau.ac.in/org_farm/orgfarm_pestanddisease.html
Bitter Gourd,Fruit fly,Field sanitation,Neem sprays,Malathion bait spray,Pheromone traps (Cue-lure),Neem + traps + sanitation,,,
Bitter Gourd,Leaf miner,Clean cultivation,Beauveria bassiana,Spinosad,Sticky traps,Biocontrol + neem + traps,,,
Bottle Gourd,Red pumpkin beetle,Proper spacing,Neem cake,Carbaryl dust,Manual collection,Neem + sanitation + limited chemical,,,
Bottle Gourd,Fruit fly,Field sanitation,Neem sprays,Malathion bait spray,Pheromone traps,Neem + pheromone traps,,,
BrinjaL,Shoot & fruit borer,Crop rotation,"Trichogramma, Neem",Emamectin benzoate,Pheromone traps,Trap crops (marigold) + neem + biocontrol,,,
Brinjal,Aphids & Whitefly,Timely planting,Neem sprays,Imidacloprid,Yellow sticky traps,Neem + sticky traps + resistant varieties,,,
Cabbage,Diamondback moth,Crop rotation,"Bt sprays, Neem",Flubendiamide,Yellow sticky traps,Bt + neem + sticky traps,,,
Cabbage,Aphids,Balanced nutrition,Neem sprays,Imidacloprid,Sticky traps,Neem + resistant lines,,,
Cucumber (Kheera),Fruit fly,Field sanitation,Neem sprays,Malathion bait spray,Pheromone traps,Neem + pheromone,,,
Cucumber,Aphids,Avoid excess nitrogen,Neem sprays,Imidacloprid,Sticky traps,Neem + sanitation,,,
Drumstick,Pod fly,Wider spacing,Neem sprays,Chlorpyrifos (if severe),Hand picking,Neem + pruning + bird perches,,,
Drumstick,Leaf caterpillar,Pruning,Predatory birds,-,Hand picking,Bird perches + neem sprays,,,
Green Chilli,Thrips,Balanced fertilizer,"Neem sprays, predatory mites",Imidacloprid,Blue sticky traps,Neem + sticky traps,,,
Green Chilli,Fruit borer,Proper irrigation,Trichogramma release,Emamectin benzoate,Pheromone traps,Neem + biocontrol + traps,,,
Lemon (Citrus),Citrus psylla,"Orchard sanitation, pruning","Tamarixia radiata (parasitoid), Neem",Imidacloprid drench,Yellow sticky traps,Biocontrol + neem + occasional chemical,,,
Lemon,Leaf miner,"Pruning, clean orchard",Neem sprays,Imidacloprid,Sticky traps,Neem + pruning,,,
Little Gourd (Kundru),Fruit fly,Clean cultivation,Neem sprays,Malathion bait sprays,Pheromone traps,Neem + sanitation + traps,,,
Onion,Thrips,Crop rotation,Neem sprays,Chlorpyrifos soil drench,Blue sticky traps,Neem + sticky traps,,,
Onion,Onion maggot,Field sanitation,Neem cake,Imidacloprid drench,Soil solarization,Neem + soil management,,,
Paddy (Dhan),Stem borer,"Early planting, resistant varieties","Trichogramma japonicum, Neem cake",Chlorpyrifos,"Light traps, rope dragging",Resistant varieties + natural enemies,,,
Paddy,Brown plant hopper,Balanced fertilizer,"Natural predators, Neem",Buprofezin,Light traps,IPM package with need-based sprays,,,
Papaya,Papaya mealybug,Intercropping,"Acerophagus papayae (parasitoid), Neem",Dimethoate,"Water spray, Pruning, Sanitation",Biocontrol + neem sprays,,,
Papaya,Fruit fly,Sanitation,Neem sprays,Malathion bait spray,Pheromone traps,Neem + traps,,,
Pointed Gourd (Parval),Fruit fly,Crop rotation,Neem sprays,Malathion bait sprays,Pheromone traps,Neem + pheromone,,,
Potato,Potato tuber moth,"Crop rotation, hilling",Neem sprays,Chlorpyrifos,Pheromone traps,Neem + pheromone,,,
Potato,Aphids,Balanced fertilizer,Neem sprays,Imidacloprid,Sticky traps,Neem + resistant seed,,,
Sweet Potato,Weevil,"Crop rotation, clean field",Neem cake,Imidacloprid vine treatment,Removal of infested vines,Healthy vines + neem + soil amendments,,,
Ridge Gourd (Tori),Fruit fly,"Crop rotation, sanitation",Neem sprays,Malathion bait sprays,Pheromone traps,Neem + pheromone,,,
Ridge Gourd,Leaf miner,Clean cultivation,Neem sprays,Spinosad,Sticky traps,Neem + spinosad (if severe),,,
Tomato,Fruit borer (Helicoverpa),Trap crops (marigold),"Trichogramma, Neem sprays",Emamectin benzoate,Pheromone traps,Trap cropping + neem + biocontrol,,,
Tomato,Whitefly,Crop rotation,Neem sprays,Imidacloprid,Yellow sticky traps,Neem + sticky traps,,,
Fish (Aquaculture),"Predatory fish, snails, algal bloom","Proper liming, balanced fertilization","Beneficial bacteria, biocontrol agents","Copper sulfate, bleaching powder","Netting, removal of predators",Pond preparation + water quality management,,,